,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192804,     45.09,    112.70,     61.82,     92.54,    141.29,    468.84,     54.50,     37.75,    139.70,     67.12
192805,     44.82,    114.21,     62.61,    106.44,    144.41,    592.00,     54.28,     38.56,    154.57,     69.80
192806,     45.12,    119.28,     64.64,    100.33,    147.42,    631.15,     57.52,     41.86,    156.50,     69.60
192807,     42.82,    112.49,     60.19,     96.24,    140.92,    644.26,     52.70,     62.28,    154.49,     69.65
192808,     43.48,    115.79,     61.25,     97.14,    141.81,    636.03,     55.47,     63.68,    152.09,     69.23
192809,     46.00,    125.67,     66.26,     99.00,    155.34,    664.99,     62.81,     72.50,    161.40,     72.21
192810,     46.30,    135.35,     68.82,    104.02,    155.57,    657.74,     62.84,     71.51,    167.22,     72.40
192811,     46.64,    135.29,     71.67,    106.03,    158.37,    677.23,     66.45,     71.46,    163.61,     71.94
192812,     49.80,    139.75,     80.62,    123.60,    189.05,    722.45,     76.41,     74.61,    199.02,     78.84
192901,     49.46,    140.82,     82.76,    118.03,    201.30,    711.49,     75.33,     86.73,    201.74,     79.26
192902,     51.04,    142.50,     91.71,    108.91,    222.35,    806.64,     72.30,     89.60,    227.83,     83.51
192903,     49.47,    141.59,     94.65,    108.33,    226.65,    797.33,     70.35,     89.08,    222.83,     83.28
192904,     46.93,    138.71,     92.47,    119.60,    235.97,    823.33,     66.65,     87.52,    215.35,     81.11
192905,     47.96,    137.18,     94.46,    120.36,    240.17,    851.22,     68.93,     88.71,    232.08,     81.37
192906,     46.06,    115.26,     84.78,    113.11,    240.64,    776.59,     62.87,     81.19,    242.71,     81.47
192907,     47.72,    114.14,     94.09,    110.63,    269.48,    864.12,     66.62,     85.62,    352.91,     89.61
192908,     49.15,    110.52,     97.94,    110.65,    294.37,    982.32,     67.14,     87.74,    384.67,     95.32
192909,     51.35,    113.11,    106.87,    122.71,    330.99,   1090.20,     72.20,     89.94,    417.99,    101.65
192910,     49.39,    103.43,     98.92,    120.70,    305.26,   1067.01,     68.22,     83.30,    426.04,     95.44
192911,     44.02,     73.30,     79.26,    108.36,    220.20,    902.81,     51.72,     68.18,    297.67,     83.89
192912,     40.48,     59.62,     67.62,    100.88,    177.53,    817.32,     44.97,     62.27,    253.18,     75.92
193001,     40.47,     62.27,     68.29,    100.83,    195.52,    817.28,     42.21,     62.54,    272.48,     75.47
193002,     42.75,     67.18,     72.75,     99.86,    216.27,    827.04,     44.08,     64.01,    291.75,     78.88
193003,     43.52,     68.08,     74.50,     94.83,    232.70,    885.44,     41.64,     71.64,    315.58,     81.24
193004,     44.54,     75.52,     79.50,    113.42,    250.42,    954.99,     40.52,     75.54,    345.95,     85.07
193005,     44.67,     69.50,     73.44,    120.50,    255.36,    911.80,     41.37,     74.54,    356.98,     79.48
193006,     45.27,     73.13,     72.35,    115.46,    243.85,    915.48,     41.21,     81.58,    351.07,     79.00
193007,     45.29,     52.26,     59.13,    100.53,    158.13,    916.69,     34.60,     61.53,    321.25,     66.33
193008,     46.59,     58.51,     61.72,    105.39,    164.57,    928.36,     35.45,     65.50,    333.49,     68.38
193009,     47.30,     56.67,     61.47,    103.19,    167.96,    943.67,     37.02,     69.96,    336.30,     67.80
193010,     42.76,     47.01,     53.07,     88.03,    136.43,    884.75,     32.87,     63.53,    295.61,     60.30
193011,     40.53,     42.27,     47.59,     80.40,    112.75,    848.31,     29.96,     60.71,    270.63,     55.00
193012,     40.45,     43.83,     47.26,     76.98,    108.84,    820.53,     30.62,     58.16,    245.85,     51.98
193101,     38.29,     43.16,     43.23,     67.27,     96.24,    779.31,     26.39,     53.87,    236.07,     47.21
193102,     40.23,     46.55,     45.01,     70.68,    101.20,    816.62,     28.19,     58.26,    248.65,     52.64
193103,     43.12,     53.94,     50.58,     74.22,    123.78,    865.17,     32.23,     62.22,    285.51,     55.39
193104,     42.09,     51.80,     46.94,     63.43,    117.60,    824.15,     31.06,     63.00,    276.53,     49.89
193105,     39.76,     48.58,     40.14,     54.76,    102.17,    789.11,     29.39,     60.68,    250.98,     44.85
193106,     35.21,     40.06,     33.43,     47.38,     88.92,    718.54,     28.37,     53.86,    221.94,     37.04
193107,     39.27,     45.93,     37.55,     60.02,    104.77,    896.06,     30.02,     60.13,    252.15,     46.44
193108,     37.66,     44.90,     33.56,     57.77,     93.79,    852.38,     29.48,     61.66,    238.05,     41.89
193109,     37.28,     42.96,     33.37,     62.64,     97.22,    859.33,     30.24,     61.28,    221.53,     40.14
193110,     28.01,     27.94,     23.32,     43.83,     63.82,    662.64,     20.99,     42.90,    147.67,     29.39
193111,     29.84,     31.51,     24.66,     49.91,     70.59,    691.40,     23.84,     47.70,    162.68,     29.81
193112,     28.41,     30.31,     22.72,     45.05,     60.55,    644.00,     21.18,     45.75,    153.99,     23.97
193201,     25.41,     27.60,     19.07,     36.41,     51.56,    581.57,     17.86,     43.55,    132.96,     19.76
193202,     25.84,     25.65,     18.88,     34.61,     45.61,    558.06,     17.93,     42.36,    129.35,     21.03
193203,     27.14,     25.74,     19.99,     37.14,     48.43,    622.98,     18.81,     42.61,    137.29,     20.89
193204,     25.45,     19.99,     17.04,     37.29,     40.93,    550.15,     16.97,     39.56,    123.51,     17.51
193205,     22.44,     14.01,     13.05,     31.94,     31.01,    481.95,     14.15,     31.70,    104.10,     13.59
193206,     17.85,     11.18,     10.64,     29.66,     22.10,    429.87,     10.26,     20.28,     75.24,      9.57
193207,     17.67,      9.98,     10.19,     31.29,     24.31,    390.21,     10.14,     22.20,     76.37,      9.06
193208,     22.16,     14.74,     14.37,     42.26,     35.05,    455.35,     12.85,     28.65,     98.58,     14.10
193209,     27.31,     21.19,     20.99,     50.83,     51.00,    583.62,     16.98,     38.31,    140.53,     22.34
193210,     26.81,     22.96,     20.43,     45.59,     47.89,    573.76,     17.41,     33.56,    133.47,     21.30
193211,     23.89,     17.26,     17.12,     43.84,     38.77,    527.11,     15.18,     27.30,    118.83,     17.46
193212,     22.47,     16.57,     15.38,     41.38,     35.55,    521.22,     14.20,     28.19,    113.65,     16.32
193301,     23.04,     17.28,     15.83,     41.33,     37.21,    529.07,     14.83,     29.95,    123.50,     16.99
193302,     24.04,     17.35,     16.30,     40.05,     37.53,    530.67,     14.66,     29.57,    117.90,     18.43
193303,     21.72,     13.14,     13.49,     34.15,     29.97,    489.43,     11.90,     25.90,     93.60,     15.31
193304,     23.71,     14.34,     14.94,     35.59,     31.63,    449.62,     12.85,     24.92,     81.18,     15.79
193305,     31.77,     25.79,     23.65,     49.44,     48.50,    509.07,     18.21,     34.15,    101.58,     20.63
193306,     35.68,     33.65,     29.67,     58.95,     58.10,    597.50,     21.94,     41.71,    120.35,     27.09
193307,     38.94,     40.69,     33.52,     63.90,     59.89,    649.17,     25.26,     46.26,    136.80,     29.62
193308,     36.32,     37.80,     29.64,     56.17,     53.24,    620.83,     21.84,     37.39,    123.55,     27.64
193309,     39.78,     45.37,     34.44,     66.80,     60.11,    648.94,     23.30,     36.78,    121.16,     31.88
193310,     36.53,     38.41,     30.91,     64.95,     49.57,    614.63,     21.18,     36.16,     96.84,     26.54
193311,     33.13,     34.53,     28.33,     61.77,     44.73,    570.47,     19.50,     33.96,     89.42,     23.66
193312,     34.74,     42.77,     31.84,     70.32,     52.36,    602.61,     22.21,     36.66,     86.24,     24.85
193401,     33.29,     47.22,     33.25,     69.36,     52.90,    568.84,     23.14,     32.24,     86.98,     26.10
193402,     36.53,     53.42,     36.86,     75.36,     61.40,    602.77,     27.08,     37.63,    104.67,     30.90
193403,     34.56,     52.05,     35.65,     72.53,     57.51,    615.56,     27.78,     35.78,    101.88,     30.17
